Starting Training: 488 updates expected.
Update 1/488 complete. Mean Reward: -56.14
Update 2/488 complete. Mean Reward: -60.56
Update 3/488 complete. Mean Reward: -54.44
Update 4/488 complete. Mean Reward: -57.95
Update 5/488 complete. Mean Reward: -58.00
Update 6/488 complete. Mean Reward: -67.09
Update 7/488 complete. Mean Reward: -53.46
Update 8/488 complete. Mean Reward: -50.06
Update 9/488 complete. Mean Reward: -47.49
Update 10/488 complete. Mean Reward: -62.45
Update 11/488 complete. Mean Reward: -55.46
Update 12/488 complete. Mean Reward: -68.80
Update 13/488 complete. Mean Reward: -71.07
Update 14/488 complete. Mean Reward: -76.35
Update 15/488 complete. Mean Reward: -67.15
Update 16/488 complete. Mean Reward: -72.37
Update 17/488 complete. Mean Reward: -77.39
Update 18/488 complete. Mean Reward: -76.03
Update 19/488 complete. Mean Reward: -43.82
Update 20/488 complete. Mean Reward: -51.10
Update 21/488 complete. Mean Reward: -41.84
Update 22/488 complete. Mean Reward: -8.33
Update 23/488 complete. Mean Reward: -51.47
Update 24/488 complete. Mean Reward: -32.85
Update 25/488 complete. Mean Reward: -35.93
Update 26/488 complete. Mean Reward: -37.41
Update 27/488 complete. Mean Reward: -37.93
Update 28/488 complete. Mean Reward: 29.21
Update 29/488 complete. Mean Reward: 36.10
Update 30/488 complete. Mean Reward: 26.04
Update 31/488 complete. Mean Reward: 3.75
Update 32/488 complete. Mean Reward: 23.60
Update 33/488 complete. Mean Reward: 12.30
Update 34/488 complete. Mean Reward: 23.83
Update 35/488 complete. Mean Reward: 30.59
Update 36/488 complete. Mean Reward: 4.10
Update 37/488 complete. Mean Reward: 122.90
Update 38/488 complete. Mean Reward: 129.82
Update 39/488 complete. Mean Reward: 56.34
Update 40/488 complete. Mean Reward: 46.06
Update 41/488 complete. Mean Reward: 1.24
Update 42/488 complete. Mean Reward: 36.87
Update 43/488 complete. Mean Reward: 26.15
Update 44/488 complete. Mean Reward: 48.12
Update 45/488 complete. Mean Reward: 182.22
Update 46/488 complete. Mean Reward: 53.56
Update 47/488 complete. Mean Reward: 32.28
Update 48/488 complete. Mean Reward: 6.13
Update 49/488 complete. Mean Reward: 115.63
Update 50/488 complete. Mean Reward: -19.90
Update 51/488 complete. Mean Reward: 140.49
Update 52/488 complete. Mean Reward: 27.67
Update 53/488 complete. Mean Reward: -27.31
Update 54/488 complete. Mean Reward: 19.50
Update 55/488 complete. Mean Reward: -1.82
Update 56/488 complete. Mean Reward: 16.18
Update 57/488 complete. Mean Reward: -13.27
Update 58/488 complete. Mean Reward: 33.72
Update 59/488 complete. Mean Reward: 24.04
Update 60/488 complete. Mean Reward: 27.21
Update 61/488 complete. Mean Reward: 20.55
Update 62/488 complete. Mean Reward: 8.11
Update 63/488 complete. Mean Reward: -19.43
Update 64/488 complete. Mean Reward: -22.32
Update 65/488 complete. Mean Reward: 56.70
Update 66/488 complete. Mean Reward: 59.43
Update 67/488 complete. Mean Reward: 59.55
Update 68/488 complete. Mean Reward: 49.59
Update 69/488 complete. Mean Reward: 50.86
Update 70/488 complete. Mean Reward: -12.27
Update 71/488 complete. Mean Reward: -17.99
Update 72/488 complete. Mean Reward: 52.26
Update 73/488 complete. Mean Reward: -2.58
Update 74/488 complete. Mean Reward: 22.86
Update 75/488 complete. Mean Reward: 107.31
Update 76/488 complete. Mean Reward: 33.46
Update 77/488 complete. Mean Reward: 91.97
Update 78/488 complete. Mean Reward: 75.73
Update 79/488 complete. Mean Reward: 42.16
Update 80/488 complete. Mean Reward: 104.85
Update 81/488 complete. Mean Reward: 297.89
Update 82/488 complete. Mean Reward: 437.61
Update 83/488 complete. Mean Reward: 276.27
Update 84/488 complete. Mean Reward: 339.74
Update 85/488 complete. Mean Reward: 234.61
Update 86/488 complete. Mean Reward: 179.95
Update 87/488 complete. Mean Reward: 389.90
Update 88/488 complete. Mean Reward: 295.03
Update 89/488 complete. Mean Reward: 264.56
Update 90/488 complete. Mean Reward: 261.43
Update 91/488 complete. Mean Reward: 337.56
Update 92/488 complete. Mean Reward: 290.90
Update 93/488 complete. Mean Reward: 395.28
Update 94/488 complete. Mean Reward: 345.09
Update 95/488 complete. Mean Reward: 290.41
Update 96/488 complete. Mean Reward: 234.03
Update 97/488 complete. Mean Reward: 480.28
Update 98/488 complete. Mean Reward: 416.16
Update 99/488 complete. Mean Reward: 366.29
Update 100/488 complete. Mean Reward: 441.15
Update 101/488 complete. Mean Reward: 388.97
Update 102/488 complete. Mean Reward: 553.98
Update 103/488 complete. Mean Reward: 527.95
Update 104/488 complete. Mean Reward: 368.19
Update 105/488 complete. Mean Reward: 393.19
Update 106/488 complete. Mean Reward: 426.14
Update 107/488 complete. Mean Reward: 530.86
Update 108/488 complete. Mean Reward: 520.95
Update 109/488 complete. Mean Reward: 445.73
Update 110/488 complete. Mean Reward: 514.54
Update 111/488 complete. Mean Reward: 644.23
Update 112/488 complete. Mean Reward: 548.42
Update 113/488 complete. Mean Reward: 498.41
Update 114/488 complete. Mean Reward: 545.88
Update 115/488 complete. Mean Reward: 518.91
Update 116/488 complete. Mean Reward: 485.56
Update 117/488 complete. Mean Reward: 415.14
Update 118/488 complete. Mean Reward: 284.98
Update 119/488 complete. Mean Reward: 486.64
Update 120/488 complete. Mean Reward: 703.82
Update 121/488 complete. Mean Reward: 694.40
Update 122/488 complete. Mean Reward: 485.30
Update 123/488 complete. Mean Reward: 612.92
Update 124/488 complete. Mean Reward: 565.00
Update 125/488 complete. Mean Reward: 709.59
Update 126/488 complete. Mean Reward: 412.33
Update 127/488 complete. Mean Reward: 568.69
Update 128/488 complete. Mean Reward: 691.18
Update 129/488 complete. Mean Reward: 377.65
Update 130/488 complete. Mean Reward: 531.89
Update 131/488 complete. Mean Reward: 530.75
Update 132/488 complete. Mean Reward: 656.36
Update 133/488 complete. Mean Reward: 539.54
Update 134/488 complete. Mean Reward: 678.05
Update 135/488 complete. Mean Reward: 754.22
Update 136/488 complete. Mean Reward: 470.11
Update 137/488 complete. Mean Reward: 625.36
Update 138/488 complete. Mean Reward: 604.38
Update 139/488 complete. Mean Reward: 616.19
Update 140/488 complete. Mean Reward: 442.61
Update 141/488 complete. Mean Reward: 588.68
Update 142/488 complete. Mean Reward: 636.15
Update 143/488 complete. Mean Reward: 633.96
Update 144/488 complete. Mean Reward: 597.65
Update 145/488 complete. Mean Reward: 564.28
Update 146/488 complete. Mean Reward: 782.73
Update 147/488 complete. Mean Reward: 590.36
Update 148/488 complete. Mean Reward: 516.93
Update 149/488 complete. Mean Reward: 473.21
Update 150/488 complete. Mean Reward: 735.37
Update 151/488 complete. Mean Reward: 621.98
Update 152/488 complete. Mean Reward: 627.45
Update 153/488 complete. Mean Reward: 857.96
Update 154/488 complete. Mean Reward: 823.57
Update 155/488 complete. Mean Reward: 637.20
Update 156/488 complete. Mean Reward: 576.68
Update 157/488 complete. Mean Reward: 538.04
Update 158/488 complete. Mean Reward: 480.02
Update 159/488 complete. Mean Reward: 642.88
Update 160/488 complete. Mean Reward: 537.43
Update 161/488 complete. Mean Reward: 803.77
Update 162/488 complete. Mean Reward: 451.49
Update 163/488 complete. Mean Reward: 683.41
Update 164/488 complete. Mean Reward: 467.85
Update 165/488 complete. Mean Reward: 541.36
Update 166/488 complete. Mean Reward: 603.84
Update 167/488 complete. Mean Reward: 746.05
Update 168/488 complete. Mean Reward: 567.08
Update 169/488 complete. Mean Reward: 654.71
Update 170/488 complete. Mean Reward: 595.58
Update 171/488 complete. Mean Reward: 690.82
Update 172/488 complete. Mean Reward: 544.45
Update 173/488 complete. Mean Reward: 631.23
Update 174/488 complete. Mean Reward: 742.58
Update 175/488 complete. Mean Reward: 400.76
Update 176/488 complete. Mean Reward: 384.67
Update 177/488 complete. Mean Reward: 540.30
Update 178/488 complete. Mean Reward: 604.71
Update 179/488 complete. Mean Reward: 575.23
Update 180/488 complete. Mean Reward: 586.30
Update 181/488 complete. Mean Reward: 633.19
Update 182/488 complete. Mean Reward: 626.44
Update 183/488 complete. Mean Reward: 548.54
Update 184/488 complete. Mean Reward: 575.54
Update 185/488 complete. Mean Reward: 772.06
Update 186/488 complete. Mean Reward: 526.75
Update 187/488 complete. Mean Reward: 530.67
Update 188/488 complete. Mean Reward: 594.71
Update 189/488 complete. Mean Reward: 722.30
Update 190/488 complete. Mean Reward: 688.00
Update 191/488 complete. Mean Reward: 720.58
Update 192/488 complete. Mean Reward: 631.12
Update 193/488 complete. Mean Reward: 462.59
Update 194/488 complete. Mean Reward: 785.07
Update 195/488 complete. Mean Reward: 557.84
Update 196/488 complete. Mean Reward: 505.57
Update 197/488 complete. Mean Reward: 569.08
Update 198/488 complete. Mean Reward: 651.94
Update 199/488 complete. Mean Reward: 452.89
Update 200/488 complete. Mean Reward: 600.72
Update 201/488 complete. Mean Reward: 659.79
Update 202/488 complete. Mean Reward: 495.63
Update 203/488 complete. Mean Reward: 580.39
Update 204/488 complete. Mean Reward: 704.44
Update 205/488 complete. Mean Reward: 568.35
Update 206/488 complete. Mean Reward: 578.62
Update 207/488 complete. Mean Reward: 421.34
Update 208/488 complete. Mean Reward: 548.42
Update 209/488 complete. Mean Reward: 457.07
Update 210/488 complete. Mean Reward: 682.08
Update 211/488 complete. Mean Reward: 669.43
Update 212/488 complete. Mean Reward: 599.92
Update 213/488 complete. Mean Reward: 435.14
Update 214/488 complete. Mean Reward: 616.72
Update 215/488 complete. Mean Reward: 641.22
Update 216/488 complete. Mean Reward: 673.87
Update 217/488 complete. Mean Reward: 508.15
Update 218/488 complete. Mean Reward: 603.16
Update 219/488 complete. Mean Reward: 563.09
Update 220/488 complete. Mean Reward: 434.71
Update 221/488 complete. Mean Reward: 555.14
Update 222/488 complete. Mean Reward: 610.04
Update 223/488 complete. Mean Reward: 518.26
Update 224/488 complete. Mean Reward: 555.52
Update 225/488 complete. Mean Reward: 568.26
Update 226/488 complete. Mean Reward: 559.80
Update 227/488 complete. Mean Reward: 546.42
Update 228/488 complete. Mean Reward: 483.01
Update 229/488 complete. Mean Reward: 658.24
Update 230/488 complete. Mean Reward: 527.02
Update 231/488 complete. Mean Reward: 491.17
Update 232/488 complete. Mean Reward: 518.43
Update 233/488 complete. Mean Reward: 496.79
Update 234/488 complete. Mean Reward: 555.97
Update 235/488 complete. Mean Reward: 631.15
Update 236/488 complete. Mean Reward: 763.46
Update 237/488 complete. Mean Reward: 587.90
Update 238/488 complete. Mean Reward: 541.28
Update 239/488 complete. Mean Reward: 534.27
Update 240/488 complete. Mean Reward: 646.58
Update 241/488 complete. Mean Reward: 690.69
Update 242/488 complete. Mean Reward: 550.21
Update 243/488 complete. Mean Reward: 566.45
Update 244/488 complete. Mean Reward: 616.70
Update 245/488 complete. Mean Reward: 608.05
Update 246/488 complete. Mean Reward: 522.42
Update 247/488 complete. Mean Reward: 650.29
Update 248/488 complete. Mean Reward: 678.83
Update 249/488 complete. Mean Reward: 536.34
Update 250/488 complete. Mean Reward: 754.09
Update 251/488 complete. Mean Reward: 502.69
Update 252/488 complete. Mean Reward: 634.68
Update 253/488 complete. Mean Reward: 539.50
Update 254/488 complete. Mean Reward: 560.68
Update 255/488 complete. Mean Reward: 599.65
Update 256/488 complete. Mean Reward: 526.83
Update 257/488 complete. Mean Reward: 638.58
Update 258/488 complete. Mean Reward: 643.23
Update 259/488 complete. Mean Reward: 486.68
Update 260/488 complete. Mean Reward: 565.28
Update 261/488 complete. Mean Reward: 648.77
Update 262/488 complete. Mean Reward: 552.53
Update 263/488 complete. Mean Reward: 608.59
Update 264/488 complete. Mean Reward: 780.91
Update 265/488 complete. Mean Reward: 700.53
Update 266/488 complete. Mean Reward: 726.50
Update 267/488 complete. Mean Reward: 633.40
Update 268/488 complete. Mean Reward: 581.61
Update 269/488 complete. Mean Reward: 370.24
Update 270/488 complete. Mean Reward: 550.33
Update 271/488 complete. Mean Reward: 610.21
Update 272/488 complete. Mean Reward: 629.78
Update 273/488 complete. Mean Reward: 563.84
Update 274/488 complete. Mean Reward: 552.99
Update 275/488 complete. Mean Reward: 401.39
Update 276/488 complete. Mean Reward: 626.53
Update 277/488 complete. Mean Reward: 566.86
Update 278/488 complete. Mean Reward: 522.51
Update 279/488 complete. Mean Reward: 463.96
Update 280/488 complete. Mean Reward: 425.91
Update 281/488 complete. Mean Reward: 462.18
Update 282/488 complete. Mean Reward: 501.11
Update 283/488 complete. Mean Reward: 469.78
Update 284/488 complete. Mean Reward: 734.90
Update 285/488 complete. Mean Reward: 655.91
Update 286/488 complete. Mean Reward: 815.01
Update 287/488 complete. Mean Reward: 764.25
Update 288/488 complete. Mean Reward: 290.01
Update 289/488 complete. Mean Reward: 590.66
Update 290/488 complete. Mean Reward: 714.67
Update 291/488 complete. Mean Reward: 607.31
Update 292/488 complete. Mean Reward: 643.67
Update 293/488 complete. Mean Reward: 621.26
Update 294/488 complete. Mean Reward: 684.77
Update 295/488 complete. Mean Reward: 671.76
Update 296/488 complete. Mean Reward: 597.39
Update 297/488 complete. Mean Reward: 726.98
Update 298/488 complete. Mean Reward: 549.56
Update 299/488 complete. Mean Reward: 642.33
Update 300/488 complete. Mean Reward: 821.34
Update 301/488 complete. Mean Reward: 685.69
Update 302/488 complete. Mean Reward: 537.24
Update 303/488 complete. Mean Reward: 443.52
Update 304/488 complete. Mean Reward: 413.68
Update 305/488 complete. Mean Reward: 437.55
Update 306/488 complete. Mean Reward: 652.36
Update 307/488 complete. Mean Reward: 622.73
Update 308/488 complete. Mean Reward: 569.92
Update 309/488 complete. Mean Reward: 655.70
Update 310/488 complete. Mean Reward: 685.44
Update 311/488 complete. Mean Reward: 585.27
Update 312/488 complete. Mean Reward: 365.14
Update 313/488 complete. Mean Reward: 393.24
Update 314/488 complete. Mean Reward: 569.26
Update 315/488 complete. Mean Reward: 654.88
Update 316/488 complete. Mean Reward: 674.19
Update 317/488 complete. Mean Reward: 608.02
Update 318/488 complete. Mean Reward: 706.68
Update 319/488 complete. Mean Reward: 577.78
Update 320/488 complete. Mean Reward: 482.79
Update 321/488 complete. Mean Reward: 626.11
Update 322/488 complete. Mean Reward: 646.79
Update 323/488 complete. Mean Reward: 435.35
Update 324/488 complete. Mean Reward: 640.61
Update 325/488 complete. Mean Reward: 675.50
Update 326/488 complete. Mean Reward: 677.76
Update 327/488 complete. Mean Reward: 574.65
Update 328/488 complete. Mean Reward: 586.95
Update 329/488 complete. Mean Reward: 740.87
Update 330/488 complete. Mean Reward: 557.13
Update 331/488 complete. Mean Reward: 474.97
Update 332/488 complete. Mean Reward: 608.28
Update 333/488 complete. Mean Reward: 403.46
Update 334/488 complete. Mean Reward: 414.03
Update 335/488 complete. Mean Reward: 824.14
Update 336/488 complete. Mean Reward: 511.08
Update 337/488 complete. Mean Reward: 561.50
Update 338/488 complete. Mean Reward: 512.82
Update 339/488 complete. Mean Reward: 594.15
Update 340/488 complete. Mean Reward: 708.32
Update 341/488 complete. Mean Reward: 606.93
Update 342/488 complete. Mean Reward: 650.18
Update 343/488 complete. Mean Reward: 517.78
Update 344/488 complete. Mean Reward: 777.68
Update 345/488 complete. Mean Reward: 412.36
Update 346/488 complete. Mean Reward: 620.93
Update 347/488 complete. Mean Reward: 623.32
Update 348/488 complete. Mean Reward: 468.16
Update 349/488 complete. Mean Reward: 612.57
Update 350/488 complete. Mean Reward: 572.93
Update 351/488 complete. Mean Reward: 591.77
Update 352/488 complete. Mean Reward: 458.41
Update 353/488 complete. Mean Reward: 702.88
Update 354/488 complete. Mean Reward: 683.91
Update 355/488 complete. Mean Reward: 750.29
Update 356/488 complete. Mean Reward: 517.83
Update 357/488 complete. Mean Reward: 639.26
Update 358/488 complete. Mean Reward: 790.57
Update 359/488 complete. Mean Reward: 457.39
Update 360/488 complete. Mean Reward: 662.18
Update 361/488 complete. Mean Reward: 471.61
Update 362/488 complete. Mean Reward: 458.36
Update 363/488 complete. Mean Reward: 789.18
Update 364/488 complete. Mean Reward: 546.22
Update 365/488 complete. Mean Reward: 625.36
Update 366/488 complete. Mean Reward: 541.18
Update 367/488 complete. Mean Reward: 499.24
Update 368/488 complete. Mean Reward: 423.60
Update 369/488 complete. Mean Reward: 555.68
Update 370/488 complete. Mean Reward: 393.18
Update 371/488 complete. Mean Reward: 561.08
Update 372/488 complete. Mean Reward: 590.90
Update 373/488 complete. Mean Reward: 587.90
Update 374/488 complete. Mean Reward: 657.31
Update 375/488 complete. Mean Reward: 531.44
Update 376/488 complete. Mean Reward: 587.68
Update 377/488 complete. Mean Reward: 529.74
Update 378/488 complete. Mean Reward: 621.20
Update 379/488 complete. Mean Reward: 790.48
Update 380/488 complete. Mean Reward: 601.40
Update 381/488 complete. Mean Reward: 627.48
Update 382/488 complete. Mean Reward: 435.03
Update 383/488 complete. Mean Reward: 592.20
Update 384/488 complete. Mean Reward: 607.11
Update 385/488 complete. Mean Reward: 841.91
Update 386/488 complete. Mean Reward: 803.55
Update 387/488 complete. Mean Reward: 384.30
Update 388/488 complete. Mean Reward: 633.86
Update 389/488 complete. Mean Reward: 401.95
Update 390/488 complete. Mean Reward: 607.28
Update 391/488 complete. Mean Reward: 563.44
Update 392/488 complete. Mean Reward: 506.67
Update 393/488 complete. Mean Reward: 571.72
Update 394/488 complete. Mean Reward: 701.50
Update 395/488 complete. Mean Reward: 455.00
Update 396/488 complete. Mean Reward: 479.82
Update 397/488 complete. Mean Reward: 610.29
Update 398/488 complete. Mean Reward: 727.36
Update 399/488 complete. Mean Reward: 298.32
Update 400/488 complete. Mean Reward: 578.18
Update 401/488 complete. Mean Reward: 599.18
Update 402/488 complete. Mean Reward: 526.41
Update 403/488 complete. Mean Reward: 536.57
Update 404/488 complete. Mean Reward: 498.40
Update 405/488 complete. Mean Reward: 672.13
Update 406/488 complete. Mean Reward: 487.95
Update 407/488 complete. Mean Reward: 657.40
Update 408/488 complete. Mean Reward: 633.91
Update 409/488 complete. Mean Reward: 322.61
Update 410/488 complete. Mean Reward: 735.80
Update 411/488 complete. Mean Reward: 559.25
Update 412/488 complete. Mean Reward: 697.70
Update 413/488 complete. Mean Reward: 488.04
