Starting Training: 488 updates expected.
Update 1/488 | True Score: -60.15 | Optim Score: -140.07 | Std: 0.9945
Update 2/488 | True Score: -59.49 | Optim Score: -138.15 | Std: 0.9997
Update 3/488 | True Score: -61.30 | Optim Score: -139.52 | Std: 0.9918
Update 4/488 | True Score: -60.25 | Optim Score: -138.73 | Std: 0.9697
Update 5/488 | True Score: -61.95 | Optim Score: -140.62 | Std: 0.9701
Update 6/488 | True Score: -53.25 | Optim Score: -131.31 | Std: 0.9471
Update 7/488 | True Score: -51.82 | Optim Score: -132.40 | Std: 0.9324
Update 8/488 | True Score: -49.69 | Optim Score: -127.47 | Std: 0.9135
Update 9/488 | True Score: -47.96 | Optim Score: -125.56 | Std: 0.9091
Update 10/488 | True Score: -61.52 | Optim Score: -140.67 | Std: 0.8958
Update 11/488 | True Score: -26.41 | Optim Score: -88.19 | Std: 0.8844
Update 12/488 | True Score: -20.90 | Optim Score: -99.31 | Std: 0.8731
Update 13/488 | True Score: -32.78 | Optim Score: -108.37 | Std: 0.8694
Update 14/488 | True Score: -59.41 | Optim Score: -137.39 | Std: 0.8682
Update 15/488 | True Score: -45.43 | Optim Score: -124.17 | Std: 0.8577
Update 16/488 | True Score: -44.88 | Optim Score: -121.11 | Std: 0.8511
Update 17/488 | True Score: -58.90 | Optim Score: -136.93 | Std: 0.8492
Update 18/488 | True Score: -89.74 | Optim Score: -153.40 | Std: 0.8491
Update 19/488 | True Score: -64.69 | Optim Score: -144.52 | Std: 0.8397
Update 20/488 | True Score: -53.75 | Optim Score: -132.74 | Std: 0.8446
Update 21/488 | True Score: -58.06 | Optim Score: -136.18 | Std: 0.8371
Update 22/488 | True Score: -50.88 | Optim Score: -129.03 | Std: 0.8364
Update 23/488 | True Score: -15.66 | Optim Score: -95.59 | Std: 0.8391
Update 24/488 | True Score: -35.74 | Optim Score: -112.16 | Std: 0.8393
Update 25/488 | True Score: -38.04 | Optim Score: -115.08 | Std: 0.8304
Update 26/488 | True Score: 8.00 | Optim Score: -70.34 | Std: 0.8327
Update 27/488 | True Score: -24.46 | Optim Score: -86.37 | Std: 0.8370
